,timestamp,meta_vault_total_supply,brett_shares,brett_open_assets,doge_shares,doge_open_assets,floki_shares,floki_open_assets,neiro_shares,neiro_open_assets,pepe_shares,pepe_open_assets,popcat_shares,popcat_open_assets,shib_shares,shib_open_assets,wif_shares,wif_open_assets,meta_vault_deposits,meta_vault_withdrawals,brett_share_price,brett_idle_assets,brett_pending_withdrawals,doge_share_price,doge_idle_assets,doge_pending_withdrawals,floki_share_price,floki_idle_assets,floki_pending_withdrawals,neiro_share_price,neiro_idle_assets,neiro_pending_withdrawals,pepe_share_price,pepe_idle_assets,pepe_pending_withdrawals,popcat_share_price,popcat_idle_assets,popcat_pending_withdrawals,shib_share_price,shib_idle_assets,shib_pending_withdrawals,wif_share_price,wif_idle_assets,wif_pending_withdrawals,meta_vault_balance,brett_balance,doge_balance,floki_balance,neiro_balance,pepe_balance,popcat_balance,shib_balance,wif_balance,net_balance
0,2024-09-16,167311.712192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67311.712192,0.0,0.9955153305376928,0.0,3276.018372,1.1728027863001638,202.494037,0.0,0.6877891826012822,0.0,1654.45084,0.988548806344082,0.0,4931.524616,1.197628513845529,9811.42782,0.0,0.9911143542865948,4639.81586,0.0,1.0757889415675872,2393.430056,0.0,1.219580531487079,0.0,1236.439539,167311.712192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167311.712192
1,2024-09-17,167311.712192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9957071618666948,2817.399334,0.0,1.173056734557095,0.0,2143.459773,0.6873350658568097,6634.942978,0.0,0.9797735017577214,0.0,2816.293992,1.1978706165687112,0.0,1970.664358,0.9913250685848154,0.0,657.662839,1.0759525316416076,1889.46488,0.0,1.2198089256720897,876.028573,0.0,167311.712192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167311.712192
2,2024-09-18,167311.712192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9958897470118302,0.0,221.175635,1.173312015127777,0.0,1927.859924,0.6866171640507485,0.0,349.106212,0.9727401783589348,1154.003925,0.0,1.198071337375718,7655.015191,0.0,0.9905211827276336,0.0,7914.425885,1.076066176524667,0.0,8010.650607,1.2200363314568363,0.0,3156.775467,167311.712192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167311.712192
3,2024-09-19,167311.712192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9962467522438552,572.119655,0.0,1.173577143598256,7135.1907,0.0,0.6860727317496966,0.0,3149.364086,0.9685017309275904,0.0,2695.909395,1.1989647044016607,13800.817848,0.0,0.9909867743010315,3338.888985,0.0,1.0762985053327137,0.0,306.987509,1.2207879786993272,6273.873637,0.0,167311.712192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167311.712192
4,2024-09-20,243705.512915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76393.800723,0.0,0.996491984677094,2430.880467,0.0,1.1738439776474443,7654.205742,0.0,0.6853860192254363,1531.669909,0.0,0.9652110891569043,5511.434165,0.0,1.200125475641002,0.0,2778.388387,0.9912597992046456,5276.266191,0.0,1.0765333963487316,0.0,3566.167707,1.221606378343021,0.0,3021.566919,243705.512915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243705.512915
5,2024-09-21,210886.511496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32819.001419,0.9966954338163014,8260.632303,0.0,1.174114367180353,5058.613036,0.0,0.6851928749713052,1582.138071,0.0,0.9635874198006992,1404.402344,0.0,1.201095936648551,3394.173521,0.0,0.9920721141321228,0.0,5967.303101,1.076772287427582,0.0,6454.415538,1.221923668113087,0.0,44.523732,210886.511496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210886.511496
6,2024-09-22,263074.55876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52188.047264,0.0,0.996896776995212,9178.859991,0.0,1.1743848641678805,0.0,8419.227416,0.6845876334185683,2967.628396,0.0,0.9615553816116325,8766.539459,0.0,1.201498711001154,0.0,2755.343975,0.9923178281988853,0.0,3218.49946,1.0770010933897831,0.0,1490.398812,1.2221784254697543,0.0,923.703289,263074.55876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263074.55876
7,2024-09-23,263074.55876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997179923143866,0.0,1248.111992,1.1746557172305183,0.0,557.383461,0.6841208880134936,140.06602,0.0,0.9572333023974232,768.469477,0.0,1.2024890198131275,0.0,1485.528059,0.9927163516901784,7471.765445,0.0,1.0771987426043037,4903.739107,0.0,1.2227930669221128,0.0,2397.362247,263074.55876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263074.55876
8,2024-09-24,262152.261907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922.296853,0.9968272095422192,2741.894697,0.0,1.1752786938154711,0.0,3075.181284,0.6836963121493494,183.908714,0.0,0.9548208838165312,1570.892218,0.0,1.2039901151449062,0.0,2156.274361,0.9932044692322968,0.0,375.488794,1.077140597450619,2767.362152,0.0,1.22392875095937,1952.801235,0.0,262152.261906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262152.261906
9,2024-09-25,255777.634351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6374.627555,0.9976307868751708,1883.753912,0.0,1.1762829615323214,231.122178,0.0,0.6833632972712017,5780.670493,0.0,0.9517875342738844,5416.981006,0.0,1.2053859481400813,0.0,4527.734697,0.9936216795137484,0.0,253.557163,1.0773780892030267,1240.129382,0.0,1.223888049818287,9767.707932,0.0,255777.634351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255777.634351
10,2024-09-26,255777.634351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9973332088226315,7205.908945,0.0,1.175714718059008,2818.447932,0.0,0.6825297262850906,6618.20985,0.0,0.9495623239215836,0.0,1759.210441,1.206462971507109,4262.106217,0.0,0.9945476145907576,0.0,966.91951,1.0754998763546864,3024.809488,0.0,1.224726309323015,52.649753,0.0,255777.634351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255777.634351
11,2024-09-27,255777.634351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9985183473953562,0.0,8208.786395,1.176159712147506,0.0,6488.724215,0.681366900096938,0.0,211.455174,0.9473245474787568,5946.619647,0.0,1.2066192957459558,2882.791015,0.0,0.9961685044005965,0.0,8.785468,1.0747376670614583,4661.806747,0.0,1.2241491427529998,5855.543532,0.0,255777.634351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255777.634351
