,timestamp,meta_vault_total_supply,btc_shares,eth_shares,doge_shares,pepe_shares,meta_vault_deposits,meta_vault_withdrawals,btc_share_price,btc_idle_assets,btc_pending_withdrawals,eth_share_price,eth_idle_assets,eth_pending_withdrawals,doge_share_price,doge_idle_assets,doge_pending_withdrawals,pepe_share_price,pepe_idle_assets,pepe_pending_withdrawals,meta_vault_balance,btc_balance,eth_balance,doge_balance,pepe_balance,net_balance
40,2024-02-10 05:00:00+00:00,102919.68731202758,63823.75401671541,23450.469724831273,14288.553274735894,0.0,0.0,0.0,1.0184338354851847,543.1849951721667,0.0,1.016974625709463,499.6674307458557,0.0,1.001147909656139,607.78565699179,0.0,0.9850722205521112,0.0,126.17569622908955,1.8189894035458565e-12,64775.457644035414,23767.09666878823,14257.182354570694,0.0,102799.73666739435
41,2024-02-11 05:00:00+00:00,102919.68731202758,63823.75401671541,23450.469724831273,14288.553274735894,0.0,0.0,0.0,1.0189154580090536,0.0,579.7138851697961,1.017636915477106,0.0,1139.4882727681106,1.0013008374944183,788.424772239823,0.0,0.9852341030112356,499.72288356312646,0.0,1.8189894035458565e-12,64804.19487374066,23780.83076957305,14259.989882690088,0.0,102845.0155260038
42,2024-02-12 05:00:00+00:00,102919.68731202758,63823.75401671541,23450.469724831273,14288.553274735894,0.0,0.0,0.0,1.020286696957042,439.3488618621048,0.0,1.0175693385651703,1188.4700492881936,0.0,1.0015285562960772,1086.1620150877525,0.0,0.9854321187035492,0.0,1835.5417364985385,1.8189894035458565e-12,64892.93960551054,23783.39672357909,14264.270752225842,0.0,102940.60708131547
43,2024-02-13 05:00:00+00:00,102919.68731202758,63823.75401671541,23450.469724831273,14288.553274735894,0.0,0.0,0.0,1.0211727052538853,0.0,2808.2924003436588,1.018786102696679,0.0,935.9453818731916,1.0018533188573184,0.0,584.4351972322822,0.9857638105904808,547.883571141136,0.0,1.8189894035458565e-12,64947.758394327655,23807.685757217052,14265.106646700311,0.0,103020.55079824502
44,2024-02-14 05:00:00+00:00,99310.1145123901,63823.75401671541,23450.469724831273,14288.553274735894,0.0,0.0,3616.61777085445,1.0220821214471851,0.0,2173.2406686092936,1.0201280103391774,799.7881515982776,0.0,1.002373343403278,176.94688812331327,0.0,0.985949979770414,0.0,1163.8563756528831,-3616.617770854449,65005.59831004264,23841.8338619251,14273.128283509024,0.0,99503.9426846223
45,2024-02-15 05:00:00+00:00,101930.69041880104,63823.75401671541,23450.469724831273,14288.553274735894,0.0,2627.427312952808,0.0,1.0227968972335912,577.5623124806924,0.0,1.0206889291425103,0.0,1039.8685261310434,1.0029800329480871,0.0,268.90093258823765,0.9871382414759224,0.0,1955.31635677239,-989.1904579016409,65053.073289676286,23852.1522982829,14281.149610637873,0.0,102197.18474069542
46,2024-02-16 05:00:00+00:00,101930.69041880104,63823.75401671541,23450.469724831273,14288.553274735894,0.0,0.0,0.0,1.023086172174004,113.19288484498936,0.0,1.02126284123493,980.4314419384,0.0,1.0035286588752514,1284.4472800684118,0.0,0.9873727546741488,795.5369400967488,0.0,-989.1904579016409,65069.851884238706,23868.983407595097,14293.441226251653,0.0,102243.08606018382
47,2024-02-17 05:00:00+00:00,102187.50245719816,63823.75401671541,23450.469724831273,13557.382884616249,0.0,257.72849478840726,0.0,1.0237873109704116,0.0,15.869787128332256,1.02168067122296,0.0,931.201655157702,1.0039001714279183,0.0,744.7319947393308,0.988340236320838,0.0,351.4528465531017,0.0,65114.05032467372,23875.32800095597,13562.789239641432,0.0,102552.16756527111
48,2024-02-18 05:00:00+00:00,99138.35578824196,63823.75401671541,23450.469724831273,13557.382884616249,0.0,0.0,3061.3573746901766,1.02430526587125,0.0,2116.600146456977,1.0219469443889555,0.0,379.5667637409095,1.0042880441636106,43.83930251516707,0.0,0.9894249140119415,0.0,6.55561960796355,-3061.3573746901766,65146.992852010895,23881.550453190863,13568.18234053539,0.0,99535.36827104697
49,2024-02-19 05:00:00+00:00,99138.35578824196,63823.75401671541,23450.469724831273,13557.382884616249,0.0,0.0,0.0,1.0248366953046744,1013.1231594220338,0.0,1.0231849677533076,0.0,132.9883838605623,1.0050706606451854,755.134700084907,0.0,0.990781505521756,0.0,1449.792155664415,-3061.3573746901766,65184.32593870158,23910.481424216643,13581.236416453692,0.0,99614.68640468174
50,2024-02-20 05:00:00+00:00,99138.35578824196,63823.75401671541,23450.469724831273,13557.382884616249,0.0,0.0,0.0,1.025143254661222,1356.7630204187333,0.0,1.0240055743657694,612.3622585188934,0.0,1.0056170646790357,0.0,488.3087288583596,0.9923291052373816,0.0,403.1463389737024,-3061.3573746901766,65205.0220109261,23931.793709643996,13585.984634935316,0.0,99661.44298081523
51,2024-02-21 05:00:00+00:00,103522.78021045803,63823.75401671541,23450.469724831273,13557.382884616249,0.0,4409.583500581251,0.0,1.025578684800271,702.3427580325355,0.0,1.0245421613947787,1098.1302327090284,0.0,1.0058551117565897,841.7867715948512,0.0,0.9921014833783692,23.283016104060074,0.0,1348.2261258910748,65230.433386280136,23946.02729787338,13592.136651951307,0.0,104116.82346199591
52,2024-02-22 05:00:00+00:00,105360.15471513213,63823.75401671541,23450.469724831273,13557.382884616249,0.0,1848.4597454689847,0.0,1.025908232185767,0.0,1264.0575800910603,1.0251418193160104,560.4452260107392,0.0,1.0060637052980113,0.0,717.3344353386032,0.9918375448271406,1053.779769939054,0.0,3196.6858713600577,65248.94335301222,23958.16517769765,13592.018793264439,0.0,105995.81319533435
53,2024-02-23 05:00:00+00:00,107794.7637423875,63823.75401671541,23450.469724831273,13557.382884616249,0.0,2450.1528031504718,0.0,1.026203321023896,0.0,1436.3697426796602,1.025675405823178,0.0,937.34419312235,1.006635986365063,0.0,850.7629637808516,0.991100189865406,0.0,331.83466071630204,5646.838674510529,65267.71134246695,23968.6796729053,13599.75036630244,0.0,108482.98005618522
54,2024-02-24 05:00:00+00:00,107444.83333446259,63823.75401671541,23450.469724831273,13557.382884616249,0.0,0.0,352.29213221767714,1.0266032712241968,442.4949940194756,0.0,1.02585690927469,468.0207160101708,0.0,1.007078596887972,134.72743078634855,0.0,0.9914366986793184,0.0,1710.9321482483488,5294.546542292852,65294.69196596669,23974.553528112745,13606.199978993614,0.0,108169.9920153659
55,2024-02-25 05:00:00+00:00,107444.83333446259,73003.15096641595,32622.81487830507,0.0,0.0,0.0,0.0,1.0270591392813393,0.0,2093.6958448074665,1.0270526234587425,34.05722073722221,0.0,1.007569270949062,0.0,1236.588647079158,0.991868066497015,0.0,1708.782412542658,-1.8189894035458565e-12,74717.04374329133,33388.606682256795,0.0,0.0,108105.65042554813
56,2024-02-26 05:00:00+00:00,110161.26408662628,73003.15096641595,32622.81487830507,0.0,0.0,2735.0732665058567,0.0,1.0275847059179395,125.66077865554108,0.0,1.0282218143270745,0.0,1401.3115958399585,1.0084259606997446,0.0,1038.7707992938228,0.991250315776343,0.0,171.68299276085682,2735.073266505855,74755.71622285279,33426.49716255817,0.0,0.0,110917.28665191682
